iter	Passed	Remaining
0	139	139515
1	140	70330
2	142	47207
3	143	35614
4	144	28685
5	145	24061
6	146	20828
7	148	18409
8	149	16510
9	150	14946
10	152	13671
11	153	12602
12	154	11695
13	155	10925
14	156	10249
15	156	9652
16	157	9131
17	158	8668
18	160	8283
19	161	7917
20	162	7575
21	163	7270
22	164	6989
23	165	6733
24	166	6498
25	167	6273
26	168	6066
27	169	5876
28	170	5701
29	171	5532
30	171	5372
31	172	5226
32	173	5096
33	175	4978
34	176	4870
35	177	4758
36	178	4650
37	179	4548
38	180	4447
39	181	4351
40	182	4264
41	183	4179
42	183	4095
43	184	4016
44	185	3941
45	187	3884
46	188	3822
47	189	3762
48	190	3703
49	191	3643
50	192	3584
51	193	3527
52	194	3471
53	195	3418
54	195	3365
55	196	3317
56	197	3269
57	198	3221
58	199	3176
59	200	3135
60	201	3094
61	201	3055
62	202	3018
63	203	2981
64	204	2943
65	205	2908
66	206	2872
67	207	2838
68	207	2804
69	208	2772
70	209	2742
71	210	2711
72	211	2681
73	211	2651
74	212	2623
75	213	2597
76	214	2572
77	215	2545
78	216	2522
79	217	2497
80	217	2473
81	218	2449
82	219	2421
83	219	2398
84	220	2376
85	221	2354
86	222	2334
87	223	2312
88	224	2293
89	224	2272
90	225	2252
91	226	2233
92	227	2215
93	228	2198
94	228	2180
95	229	2163
96	230	2146
97	231	2129
98	232	2111
99	232	2095
100	233	2079
101	234	2063
102	235	2048
103	236	2033
104	236	2018
105	237	2003
106	238	1989
107	239	1975
108	239	1960
109	240	1946
110	241	1934
111	242	1921
112	243	1908
113	243	1895
114	244	1883
115	245	1871
116	246	1858
117	246	1845
118	247	1833
119	248	1821
120	249	1810
121	249	1797
122	250	1787
123	251	1776
124	252	1765
125	253	1755
126	253	1744
127	254	1734
128	255	1726
129	256	1717
130	257	1707
131	258	1698
132	259	1688
133	259	1679
134	260	1669
135	261	1661
136	262	1652
137	263	1644
138	264	1636
139	265	1629
140	266	1621
141	266	1612
142	267	1604
143	268	1597
144	269	1589
145	270	1582
146	271	1574
147	272	1566
148	273	1559
149	273	1552
150	274	1545
151	275	1539
152	276	1532
153	277	1525
154	278	1519
155	279	1514
